ID_1 ID_2 missing oldID newID Country EthnicGp Sex Family Relationship Father Mother
BFCP15137243 BFCP15137243 0.000294811 6147062035_R06C01 BFCP15137243 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137196 BFCP15137196 0.00176887 6147062166_R07C01 BFCP15137196 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15136817 BFCP15136817 0.000294811 6135601163_R07C01 BFCP15136817 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137296 BFCP15137296 0.000589623 6160275017_R01C01 BFCP15137296 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137271 BFCP15137271 0.00353774 6160275006_R02C01 BFCP15137271 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137323 BFCP15137323 0.000589623 6160339050_R04C01 BFCP15137323 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137276 BFCP15137276 0.00235849 6160275006_R06C01 BFCP15137276 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137334 BFCP15137334 0.000884434 6160339049_R07C01 BFCP15137334 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137350 BFCP15137350 0.000589623 6160304021_R07C01 BFCP15137350 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15136958 BFCP15136958 0.00147406 6147062089_R01C01 BFCP15136958 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15136911 BFCP15136911 0.00117925 6147062070_R03C01 BFCP15136911 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15136960 BFCP15136960 0.000294811 6147062089_R03C01 BFCP15136960 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15136896 BFCP15136896 0 6147062063_R06C01 BFCP15136896 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15136889 BFCP15136889 0.00206368 6042375063_R07C01 BFCP15136889 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15136939 BFCP15136939 0.000884434 6147062016_R07C01 BFCP15136939 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137378 BFCP15137378 0 6135580109_R02C01 BFCP15137378 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137365 BFCP15137365 0.000884434 6147062096_R06C01 BFCP15137365 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137424 BFCP15137424 0.00235849 6042375049_R07C01 BFCP15137424 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137526 BFCP15137526 0.000884434 6042359153_R03C01 BFCP15137526 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137552 BFCP15137552 0.0539505 6147054082_R04C01 BFCP15137552 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137470 BFCP15137470 0.00176887 6135580120_R05C01 BFCP15137470 BurkinaFaso MOSSI 1 0 0 0 0
BFCP15137479 BFCP15137479 0.00117925 6135580040_R05C01 BFCP15137479 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137522 BFCP15137522 0.00353774 6147062079_R07C01 BFCP15137522 BurkinaFaso MOSSI 2 0 0 0 0
BFCP15137611 BFCP15137611 0 6171492009_R04C01 BFCP15137611 BurkinaFaso MOSSI 2 0 0 0 0
CMCP15142982 CMCP15142982 0.000294811 6042341089_R06C01 CMCP15142982 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142983 CMCP15142983 0 6042341089_R07C01 CMCP15142983 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142596 CMCP15142596 0.00206368 6042341162_R08C01 CMCP15142596 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142906 CMCP15142906 0.000294811 6042359084_R06C01 CMCP15142906 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142965 CMCP15142965 0.00235849 6042375013_R02C01 CMCP15142965 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142971 CMCP15142971 0.0026533 6042375013_R06C01 CMCP15142971 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142936 CMCP15142936 0.000589623 6042375014_R01C01 CMCP15142936 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142938 CMCP15142938 0.00176887 6042375014_R03C01 CMCP15142938 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142939 CMCP15142939 0.00176887 6042375014_R04C01 CMCP15142939 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142940 CMCP15142940 0.0026533 6042375014_R05C01 CMCP15142940 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142957 CMCP15142957 0.000294811 6042375022_R02C01 CMCP15142957 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143005 CMCP15143005 0.00206368 6042375029_R05C01 CMCP15143005 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142921 CMCP15142921 0.000294811 6042375043_R05C01 CMCP15142921 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142925 CMCP15142925 0.000294811 6042375043_R08C01 CMCP15142925 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142954 CMCP15142954 0.000884434 6130471012_R08C01 CMCP15142954 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142976 CMCP15142976 0.00235849 6135563011_R01C01 CMCP15142976 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143129 CMCP15143129 0.000589623 6135563041_R06C01 CMCP15143129 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142706 CMCP15142706 0.000294811 6135580017_R07C01 CMCP15142706 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142487 CMCP15142487 0.000294811 6135580057_R05C01 CMCP15142487 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142755 CMCP15142755 0 6135580098_R08C01 CMCP15142755 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143079 CMCP15143079 0.00206368 6135601045_R04C01 CMCP15143079 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143043 CMCP15143043 0.0106132 6135601080_R02C01 CMCP15143043 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143073 CMCP15143073 0.000884434 6135601082_R07C01 CMCP15143073 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143036 CMCP15143036 0.000589623 6135601108_R08C01 CMCP15143036 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143025 CMCP15143025 0.00117925 6135601124_R07C01 CMCP15143025 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142592 CMCP15142592 0.000294811 6147071157_R03C01 CMCP15142592 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142762 CMCP15142762 0.000294811 6160275012_R06C01 CMCP15142762 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142763 CMCP15142763 0.000294811 6160275012_R07C01 CMCP15142763 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142859 CMCP15142859 0.000294811 6160275020_R02C01 CMCP15142859 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142860 CMCP15142860 0.000884434 6160275020_R03C01 CMCP15142860 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142830 CMCP15142830 0.000294811 6160275021_R03C01 CMCP15142830 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142886 CMCP15142886 0.000589623 6160275044_R03C01 CMCP15142886 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142888 CMCP15142888 0.00176887 6160275044_R04C01 CMCP15142888 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142837 CMCP15142837 0.00147406 6160275059_R02C01 CMCP15142837 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142794 CMCP15142794 0 6160275060_R07C01 CMCP15142794 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15142968 CMCP15142968 0.000884434 6164663042_R07C01 CMCP15142968 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143318 CMCP15143318 0.0026533 6165295019_R02C01 CMCP15143318 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143248 CMCP15143248 0.00294811 6171492013_R07C01 CMCP15143248 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143238 CMCP15143238 0.00383255 6171492059_R05C01 CMCP15143238 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143223 CMCP15143223 0.00412736 6171492060_R01C01 CMCP15143223 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143232 CMCP15143232 0.026533 6171492060_R08C01 CMCP15143232 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143189 CMCP15143189 0.000294811 6171492072_R05C01 CMCP15143189 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143217 CMCP15143217 0.00324292 6171492075_R03C01 CMCP15143217 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143219 CMCP15143219 0.000884434 6171492075_R05C01 CMCP15143219 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143196 CMCP15143196 0.00854953 6171492077_R02C01 CMCP15143196 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143276 CMCP15143276 0.000589623 6171492079_R06C01 CMCP15143276 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143026 CMCP15143026 0 6171492084_R05C01 CMCP15143026 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15143204 CMCP15143204 0.0103184 6171492100_R01C01 CMCP15143204 Cameroon SEMI-BANTU 2 0 0 0 0
CMCP15143165 CMCP15143165 0 6186483051_R08C01 CMCP15143165 Cameroon SEMI-BANTU 1 0 0 0 0
CMCP15142786 CMCP15142786 0.00324292 6247194098_R07C01 CMCP15142786 Cameroon SEMI-BANTU 0 0 0 0 0
CMCP15142569 CMCP15142569 0.00147406 6042341099_R03C01 CMCP15142569 Cameroon BANTU 1 0 0 0 0
CMCP15142571 CMCP15142571 0 6042341099_R04C01 CMCP15142571 Cameroon BANTU 1 0 0 0 0
CMCP15142573 CMCP15142573 0.000589623 6042341099_R05C01 CMCP15142573 Cameroon BANTU 1 0 0 0 0
CMCP15142582 CMCP15142582 0.00383255 6042341162_R03C01 CMCP15142582 Cameroon BANTU 1 0 0 0 0
CMCP15142600 CMCP15142600 0.000589623 6042375002_R02C01 CMCP15142600 Cameroon BANTU 1 0 0 0 0
CMCP15142601 CMCP15142601 0.000589623 6042375002_R03C01 CMCP15142601 Cameroon BANTU 1 0 0 0 0
CMCP15142603 CMCP15142603 0.000589623 6042375002_R04C01 CMCP15142603 Cameroon BANTU 1 0 0 0 0
CMCP15142609 CMCP15142609 0.000884434 6042375002_R08C01 CMCP15142609 Cameroon BANTU 1 0 0 0 0
CMCP15142662 CMCP15142662 0.00176887 6042375085_R02C01 CMCP15142662 Cameroon BANTU 2 0 0 0 0
CMCP15142668 CMCP15142668 0.00235849 6042375085_R07C01 CMCP15142668 Cameroon BANTU 1 0 0 0 0
CMCP15142617 CMCP15142617 0.000884434 6042375101_R05C01 CMCP15142617 Cameroon BANTU 1 0 0 0 0
CMCP15142566 CMCP15142566 0.00147406 6042375104_R08C01 CMCP15142566 Cameroon BANTU 1 0 0 0 0
CMCP15142646 CMCP15142646 0.00147406 6042375146_R01C01 CMCP15142646 Cameroon BANTU 1 0 0 0 0
CMCP15142655 CMCP15142655 0.00176887 6042375146_R04C01 CMCP15142655 Cameroon BANTU 2 0 0 0 0
CMCP15142519 CMCP15142519 0.000294811 6135580001_R04C01 CMCP15142519 Cameroon BANTU 1 0 0 0 0
CMCP15142724 CMCP15142724 0.0026533 6135580011_R01C01 CMCP15142724 Cameroon BANTU 1 0 0 0 0
CMCP15142730 CMCP15142730 0.000294811 6135580011_R04C01 CMCP15142730 Cameroon BANTU 1 0 0 0 0
CMCP15142738 CMCP15142738 0.000294811 6135580011_R08C01 CMCP15142738 Cameroon BANTU 1 0 0 0 0
CMCP15142705 CMCP15142705 0.000884434 6135580017_R06C01 CMCP15142705 Cameroon BANTU 2 0 0 0 0
CMCP15142715 CMCP15142715 0.000589623 6135580073_R05C01 CMCP15142715 Cameroon BANTU 1 0 0 0 0
CMCP15142722 CMCP15142722 0.000589623 6135580073_R07C01 CMCP15142722 Cameroon BANTU 1 0 0 0 0
CMCP15142750 CMCP15142750 0.000294811 6135580098_R04C01 CMCP15142750 Cameroon BANTU 2 0 0 0 0
CMCP15142752 CMCP15142752 0.000294811 6135580098_R06C01 CMCP15142752 Cameroon BANTU 1 0 0 0 0
CMCP15142541 CMCP15142541 0.00117925 6147054122_R06C01 CMCP15142541 Cameroon BANTU 1 0 0 0 0
CMCP15142640 CMCP15142640 0.00324292 6147071060_R03C01 CMCP15142640 Cameroon BANTU 1 0 0 0 0
CMCP15142644 CMCP15142644 0.00412736 6147071060_R05C01 CMCP15142644 Cameroon BANTU 1 0 0 0 0
CMCP15142522 CMCP15142522 0 6147071101_R02C01 CMCP15142522 Cameroon BANTU 1 0 0 0 0
CMCP15142533 CMCP15142533 0.00648585 6147071101_R08C01 CMCP15142533 Cameroon BANTU 1 0 0 0 0
CMCP15142629 CMCP15142629 0.000294811 6147071123_R04C01 CMCP15142629 Cameroon BANTU 0 0 0 0 0
CMCP15142598 CMCP15142598 0.000294811 6147071157_R06C01 CMCP15142598 Cameroon BANTU 1 0 0 0 0
CMCP15142760 CMCP15142760 0.000589623 6160275012_R04C01 CMCP15142760 Cameroon BANTU 1 0 0 0 0
CMCP15142765 CMCP15142765 0.000589623 6160275012_R08C01 CMCP15142765 Cameroon BANTU 1 0 0 0 0
CMCP15142817 CMCP15142817 0.000589623 6160275046_R02C01 CMCP15142817 Cameroon BANTU 1 0 0 0 0
CMCP15142808 CMCP15142808 0.000294811 6160275058_R05C01 CMCP15142808 Cameroon BANTU 1 0 0 0 0
CMCP15142785 CMCP15142785 0.000589623 6160275060_R01C01 CMCP15142785 Cameroon BANTU 1 0 0 0 0
CMCP15142789 CMCP15142789 0.00117925 6160275060_R03C01 CMCP15142789 Cameroon BANTU 1 0 0 0 0
CMCP15142652 CMCP15142652 0.000884434 6164663042_R02C01 CMCP15142652 Cameroon BANTU 1 0 0 0 0
CMCP15143289 CMCP15143289 0.000884434 6165295013_R01C01 CMCP15143289 Cameroon BANTU 1 0 0 0 0
CMCP15142620 CMCP15142620 0 6171492049_R07C01 CMCP15142620 Cameroon BANTU 1 0 0 0 0
CMCP15142580 CMCP15142580 0.000884434 6186483013_R04C01 CMCP15142580 Cameroon BANTU 1 0 0 0 0
CMCP15142583 CMCP15142583 0.00147406 6186483013_R05C01 CMCP15142583 Cameroon BANTU 1 0 0 0 0
CMCP15142587 CMCP15142587 0.00442217 6186483013_R08C01 CMCP15142587 Cameroon BANTU 0 0 0 0 0
CMCP15142498 CMCP15142498 0.000294811 6186483032_R06C01 CMCP15142498 Cameroon BANTU 1 0 0 0 0
CMCP15142565 CMCP15142565 0.000884434 6186483090_R07C01 CMCP15142565 Cameroon BANTU 1 0 0 0 0
CMCP15142683 CMCP15142683 0.00147406 6247194011_R03C01 CMCP15142683 Cameroon BANTU 1 0 0 0 0
CMCP15142811 CMCP15142811 0.0268278 6247194031_R01C01 CMCP15142811 Cameroon BANTU 1 0 0 0 0
CMCP15142734 CMCP15142734 0.000589623 6247194043_R02C01 CMCP15142734 Cameroon BANTU 1 0 0 0 0
CMCP15142774 CMCP15142774 0.00324292 6247194098_R01C01 CMCP15142774 Cameroon BANTU 1 0 0 0 0
CMCP15142779 CMCP15142779 0.00294811 6247194098_R03C01 CMCP15142779 Cameroon BANTU 1 0 0 0 0
CMCP15142781 CMCP15142781 0.00560142 6247194098_R05C01 CMCP15142781 Cameroon BANTU 1 0 0 0 0
GMCP15282270 GMCP15282270 0.00324292 6926904110_R02C01 GMCP15282270 Gambia MANDINKA 1 0 0 0 0
GMCP15282315 GMCP15282315 0.00353774 6926904118_R07C01 GMCP15282315 Gambia MANDINKA 2 0 0 0 0
GMCP15282994 GMCP15282994 0.00206368 7308083022_R01C01 GMCP15282994 Gambia MANDINKA 2 0 0 0 0
GMCP15282980 GMCP15282980 0.00176887 7308083024_R03C01 GMCP15282980 Gambia MANDINKA 1 0 0 0 0
GMCP15282961 GMCP15282961 0.00176887 7308083046_R08C01 GMCP15282961 Gambia MANDINKA 2 0 0 0 0
GMCP15283002 GMCP15283002 0.00147406 7308083079_R01C01 GMCP15283002 Gambia MANDINKA 2 0 0 0 0
GMCP15282948 GMCP15282948 0.0135613 7308083084_R03C01 GMCP15282948 Gambia MANDINKA 2 0 0 0 0
GMCP15282686 GMCP15282686 0.000589623 7308083087_R02C01 GMCP15282686 Gambia MANDINKA 1 0 0 0 0
GMCP15282681 GMCP15282681 0.000884434 7308083103_R05C01 GMCP15282681 Gambia MANDINKA 2 0 0 0 0
GMCP15282531 GMCP15282531 0.000884434 7308083145_R05C01 GMCP15282531 Gambia MANDINKA 1 0 0 0 0
GMCP15282856 GMCP15282856 0.00176887 7410643051_R03C01 GMCP15282856 Gambia MANDINKA 1 0 0 0 0
GMCP15283098 GMCP15283098 0.000884434 7410643104_R06C01 GMCP15283098 Gambia MANDINKA 2 0 0 0 0
GMCP15282619 GMCP15282619 0.000589623 7410643120_R05C01 GMCP15282619 Gambia MANDINKA 2 0 0 0 0
GMCP15282738 GMCP15282738 0.00619104 7410651071_R03C01 GMCP15282738 Gambia MANDINKA 2 0 0 0 0
GMCP15282370 GMCP15282370 0.00442217 7410660100_R06C01 GMCP15282370 Gambia MANDINKA 2 0 0 0 0
GMCP15283352 GMCP15283352 0.000884434 7410678042_R07C01 GMCP15283352 Gambia MANDINKA 2 0 0 0 0
GMCP15250832 GMCP15250832 0.00560142 7410678108_R01C01 GMCP15250832 Gambia MANDINKA 1 0 0 0 0
GMCP15250839 GMCP15250839 0.00353774 7410678108_R07C01 GMCP15250839 Gambia MANDINKA 2 0 0 0 0
GMCP15283259 GMCP15283259 0.00117925 7410678115_R02C01 GMCP15283259 Gambia MANDINKA 2 0 0 0 0
GMCP15282887 GMCP15282887 0.00766509 7410678143_R01C01 GMCP15282887 Gambia MANDINKA 2 0 0 0 0
GMCP15282806 GMCP15282806 0.0106132 7410686145_R05C01 GMCP15282806 Gambia MANDINKA 2 0 0 0 0
GMCP15282807 GMCP15282807 0.000589623 7410686145_R06C01 GMCP15282807 Gambia MANDINKA 1 0 0 0 0
GMCP15282626 GMCP15282626 0.00206368 7410707004_R07C01 GMCP15282626 Gambia MANDINKA 2 0 0 0 0
GMCP15283178 GMCP15283178 0.000294811 7410707070_R02C01 GMCP15283178 Gambia MANDINKA 1 0 0 0 0
